recipe_id,recipe_name,recipe_author,recipe_prepare_time,recipe_cook_time,recipe_serving_size,recipe_dietary_info,recipe_ingredients_only,recipe_ingredients_raw,recipe_method,recipe_type,recipe_url
0,A return to the Black Forest,Delia Smith,1-2 hours,10 to 30 mins,Serves 10-12,"['Gluten-free', 'Nut-free', 'Vegetarian']","['dark chocolate', 'eggs', 'cherries', 'cherry brandy', 'double cream', 'eggs', 'caster sugar', 'cocoa powder', 'dark chocolate', 'cherry', 'cocoa powder']","['225g/8oz dark chocolate (75 per cent cocoa solids) ', '2 large eggs, separated', '1 jar pitted morello cherries ', '2 tbsp cherry brandy ', '225ml/8fl oz  double cream ', '6 large eggs, separated ', '150g/5oz caster sugar ', '50g/2oz cocoa powder, sifted ', '100g/3Â½oz dark chocolate (75 % cocoa solids) ', '1 level tbsp morello cherry jam ', 'a little cocoa powder ']","['Pre-heat the oven to 180C/350F/Gas 4.', ""Break the chocolate into a basin and add 2 tbsp of water. Place the basin over a saucepan of barely simmering water, making sure the basin isn't touching the water. Remove the pan from the heat and wait for the chocolate to melt before beating it with a wooden spoon until smooth."", 'Next beat the 2 egg yolks, first on their own and then into the warm chocolate mixture. As soon as the mixture has cooled, whisk the egg whites to the soft-peak stage then gently fold them into the chocolate mixture. Cover the bowl with clingfilm and leave it in the fridge for a minimum of an hour.', 'Drain the cherries, discard the syrup, then place them in a shallow dish, spoon over the cherry brandy and leave aside till needed.', 'To make the base: first place the egg yolks in a bowl and whisk them with an electric hand whisk until they begin to thicken. Then add the caster sugar and continue to whisk, but be careful not to overdo this, stop when it falls off the whisk in ribbons. Now fold in the sifted cocoa powder. Then, using a clean bowl and beaters, whisk the egg whites to the soft-peak stage. Then take 1 large spoonful, fold it into the chocolatey mixture to slacken it, and gently fold in the rest of the egg whites.', ""Now pour the mixture into the prepared tin and bake the cake on the middle of the oven for about 20 minutes or until it's springy in the centre. It will look very puffy, but a little finger gently pressed into the centre should reveal that it is cooked. It's important not to overcook it, otherwise it will be difficult to roll."", ""Remove it from the oven and leave it until it's absolutely cold, then turn it out on a sheet of greaseproof paper, which has been lightly dusted with sieved cocoa powder. Then carefully peel away the silicone paper."", 'Drain the cherries again in a sieve placed over a bowl to catch the brandy and sprinkle all but 1 tbsp of the liqueur all over the base. Next remove the chocolate filling from the fridge and spread it carefully over the surface of the base. Next whip the double cream softly, and spread this over the chocolate filling, leaving a 2.5cm/1in border all round, then press the cherries into the cream.', 'Take hold of one edge of the greaseproof paper beneath the cake, lift it and, as you lift, it will begin to come up. Just gently roll it over, pulling the paper away as it rolls. ', ""Melt the chocolate as before, taking great care not to overheat it, then pour it on to an upturned plate 15cm/6in in diameter. Then place in the fridge for about 45 minutes until it's set. The chocolate should be firm when you touch it. "", 'To make the curls use a cheese slicer, or a very sharp knife. Start at one end and just pull the slicer or knife along the surface of the chocolate towards you until curls form. Place them in a plastic container. Put the container in the fridge.', 'Now you can decorate the cake: spoon the jam into a small saucepan, add the reserved liqueur, warm gently and then brush over the surface. Place the chocolate curls all over. Finally dust the surface lightly with cocoa powder.']",Cakes and baking,www.bbc.co.uk/food/recipes/areturntotheblackfor_67199
1,Aberdeen butteries (Rowies),The Hairy Bikers,1-2 hours,30 mins to 1 hour,Makes 16,"['Egg-free', 'Nut-free', 'Pregnancy-friendly']","['yeast', 'brown sugar', 'salt', 'vegetable oil', 'butter', 'lard', 'jam']","['500g/1lb 2oz strong plain flour, plus extra for dusting', '1 x 7g sachet easy-blend dried yeast ', '1 tbsp soft light brown sugar ', '1 tbsp sea salt flakes ', '350ml/12Â¼fl oz warm water', 'vegetable oil, for greasing ', '275g/9Â¾oz butter, plus extra to serve ', '100g/3Â½oz lard ', 'ready-made jam, to serve']","['In a large bowl, mix together the flour, yeast, sugar and salt until well combined. ', 'Make a well in the centre of the mixture, then gradually add the water in a thin stream, stirring well with a wooden spoon, until the mixture comes together as a dough. (NB: You may not need to use all of the water.) ', 'Turn the dough out onto a lightly floured work surface and knead lightly for 8-10 minutes, or until smooth and elastic. ', 'Transfer the kneaded dough to a clean, greased bowl and cover with a greased sheet of cling film. Set aside in a warm place to rise (prove) for at least one hour, or until the dough has doubled in size.', 'Meanwhile, in a separate bowl, cream together the butter and lard until well combined. Divide the mixture into four equal portions. ', 'When the dough has proved, turn it out onto a lightly floured surface and knead for a further 1-2 minutes. ', 'Roll out the dough into a 40cm x 20cm/16in x 8in rectangle, about 1cm/Â½in thick.', 'Turn the dough around so that the shortest edge is facing you. Spread one portion of the butter and lard mixture over the bottom two-thirds of the dough rectangle. ', 'Fold the remaining one-third of the dough rectangle over onto the butter and lard mixture to cover the centre section of the dough rectangle. Fold the other end of the dough rectangle over the folded dough, so that the dough ends up three times its original thickness. ', 'Roll the dough out again to a 40cm x 20cm/16in x 8in rectangle, about 1cm/Â½in thick. Repeat the process of spreading and folding with another portion of the butter and lard mixture. ', 'Repeat the process twice more, until all of the butter and lard mixture has been used up and the dough has been rolled out a total of four times. ', 'Preheat the oven to 200C/400F/Gas 6.', 'Roll the dough out again to a 40cm x 20cm/16in x 8in rectangle, about 1cm/Â½in thick. Cut the dough into 16 pieces and roll each into a round, flat bun shape. ', 'Transfer the buns to a lightly oiled baking tray and set aside for 40-45 minutes, or until they have doubled in size again (leave enough space between them for expansion).  ', 'When the buns have risen, bake them in the oven for 15-18 minutes, or until they have risen further and are golden-brown and cooked through. Set aside to cool on a wire rack. ', 'Serve each buttery warm, spread with butter and jam.']",Cakes and baking,www.bbc.co.uk/food/recipes/aberdeenbutteriesrow_92370
2,Ackee and saltfish,Andi Oliver,less than 30 mins,10 to 30 mins,Serves 4,"['Nut-free', 'Pregnancy-friendly']","['vegetable oil', 'onions', 'garlic', 'thyme', 'Scotch bonnet chilli', 'pepper', 'pepper', 'tomato', 'salt cod', 'ackee', 'pepper', 'pepper', 'onion', 'thyme', 'garlic', 'scotch bonnet chilli', 'olive oil', 'white wine vinegar', 'caster sugar', 'eggs', 'avocado']","['1 tbsp vegetable oil', '2 onions, thinly sliced ', '3 tbsp finely crushed garlic ', 'pinch thyme leaves ', '1 tsp finely chopped Scotch bonnet chilli', 'Â½ green pepper, finely chopped ', 'Â½ red pepper, finely chopped ', '1 tomato, finely chopped ', '240g/8Â¾oz boiled salt cod, broken into flakes', '200g/7oz tinned ackee, drained and left whole', '1 red pepper, deseeded and thinly sliced', '1 green pepper, deseeded and thinly sliced ', '1 onion, thinly sliced', '2 sprigs fresh thyme, leaves picked', '2 garlic cloves, thinly sliced ', 'Â¼ scotch bonnet chilli, deseeded and finely chopped', '2 tbsp olive oil ', '100ml/3Â½fl oz white wine vinegar ', '50g/1Â¾oz caster sugar', '2 free-range eggs', '1 avocado, destoned, peeled and sliced']","['For the roasted peppers and onions (if using). preheat the oven to 220C/200C Fan/Gas 7. Put the peppers, onions, thyme, garlic, chillies and oil into a large baking tray and season with salt and pepper. Mix together and roast for 20â\x80\x9325 minutes.', 'Put the vinegar and sugar into a saucepan with 300ml/10fl oz of water and bring to the boil. Add the roasted peppers and onions to the saucepan and set aside to pickle.', 'For the ackee and saltfish, heat the oil in a frying pan and sweat the onions and garlic for 5 minutes. Add the thyme and scotch bonnet and sweat gently for a further 10 minutes. Add the peppers and sweat for a few more minutes until soft. Add the tomato and cook for a further 10 minutes over a low heat. ', 'If serving with eggs, boil the eggs for 6â\x80\x937 minutes until soft-boiled. Put immediately into cold water and when slightly cooled, peel and slice in half.', 'Stir through the saltfish and then add the ackee, turning it very gently through the mixture. ', 'Serve the ackee and saltfish immediately on warmed plates. Serve with the boiled eggs and avocado (if using).']",Main course,www.bbc.co.uk/food/recipes/ackee_and_saltfish_with_73421
3,Acqua e sale (Puglian bread salad) with marinated onions,Jane Baxter,less than 30 mins,no cooking required,Serves 2,"['Dairy-free', 'Egg-free', 'Healthy', 'Nut-free', 'Vegan', 'Vegetarian']","['red onions', 'brown sugar', 'red wine vinegar', 'sea salt', 'cherry tomatoes', 'garlic', 'cucumber', 'parsley', 'oregano', 'olive oil', 'ciabatta', 'black pepper']","['2 red onions, finely sliced', '2 tsp soft brown sugar', '1 tbsp red wine vinegar or balsamic vinegar', 'pinch sea salt', '200g/7oz cherry tomatoes, halved', '1 garlic clove, crushed', 'Â½ cucumber, peeled, cut into 4 lengthways, de-seeded and diced', '1 tbsp roughly chopped fresh flatleaf parsley', 'pinch dried oregano', '50ml/2fl oz extra virgin olive oil', '150g/5Â½oz stale sourdough or ciabatta, ripped into small pieces', 'salt and freshly ground black pepper']","['Toss the onions with the sugar, vinegar and salt in a bowl. Cover and leave to marinate at room temperature for at least 20 minutes, ideally a few hours.', 'Mix the tomatoes with the garlic, marinated red onions, cucumber, parsley and oregano. Season well and mix with the olive oil.', 'Sprinkle the bread pieces with 50ml/2fl oz of water, then fold the bread into the vegetables. Drizzle with more oil, season again and serve.']",Light meals & snacks,www.bbc.co.uk/food/recipes/acqua_e_sale_italian_97314
4,"Acqua pazza with hake, fennel and tomatoes",Hasan Semay,less than 30 mins,10 to 30 mins,Serves 2,,"['hake', 'fennel', 'garlic', 'chilli', 'cherry tomatoes', 'mussels', 'clams', 'white wine', 'tomatoes', 'parsley', 'olive oil']","['2 hake fillets (about 150g/5Â½oz each), skin on and pin boned ', '1 fennel bulb, cut into 8 equal-sized pieces', '2 garlic cloves, sliced ', '1 red chilli, chopped ', '10 tiger cherry tomatoes', '6 mussels, scrubbed and debearded', '6 clams, scrubbed and debearded', '150ml/5fl oz white wine', '10 datterini tomatoes', 'small handful fresh flatleaf parsley', '2 tbsp olive oil', 'grilled sourdough rubbed with garlic and olive oil, to serve']","['In a large frying pan add a splash of olive oil over medium/high heat. Pan-fry the fish until cooked 80% of the way. Remove the fish from the pan and set aside. Add the fennel pieces to the same pan and fry until both sides have a nice colour and itâ\x80\x99s partially cooked. This will take 2â\x80\x934 minutes. ', 'Add the garlic and chilli and fry for 1 minute or so until fragrant, then add the cherry tomatoes and give it all a quick stir-fry over a high heat. ', 'Discard any mussels with broken shells and any that refuse to close when tapped. Add the mussels and clams to the pan, along with the white wine.', 'Steam the mix until the clams and mussels begin to open. Discard any mussels and clams that remain closed. Throw in the datterini tomatoes and parsley.  Add the olive oil to help emulsify the sauce. ', 'Plate the cooked fish, then spoon over the sauce, shells and all. Serve with a slice of grilled bread rubbed with garlic.  ']",Main course,www.bbc.co.uk/food/recipes/seafood_acqua_pazza_94739
5,Adaptable bean soup,Nigel Slater,less than 30 mins,10 to 30 mins,Serves 4,"['Egg-free', 'Healthy', 'Nut-free', 'Pregnancy-friendly']","['onions', 'carrots', 'olive oil', 'tomatoes', 'bay leaf', 'cannellini beans', 'vegetable stock', 'orange', 'parmesan', 'black pepper', 'chard', 'parsley']","['2 onions ', '2 carrots ', '2 tbsp olive oil, plus extra for drizzling', '3-4 ripe tomatoes ', '1 bay leaf', 'a few large handfuls of pre-cooked cannellini beans', 'vegetable stock ', 'a few slices of orange peel', '1 parmesan rind, or vegetarian alternative, optional', 'salt and freshly ground black pepper', '1 handful chard stalks (and leaves if young)', 'fresh parsley, chopped', 'French stick, to serve']","['Roughly chop the onions and carrots. Warm a little olive oil in a large pan on a low heat and add the onions and carrots. Chop the tomatoes and add them to the pan with a bay leaf. Add the cannellini beans, followed by the vegetable stock - enough to cover. I like to add a couple of bits of orange peel at this stage, followed by the parmesan rind. ', 'Season generously with salt and freshly ground black pepper and let the soup bubble. Chop the chard stalks and add to the liquid. (You could use any other greens you like.) Add plenty of chopped parsley, then add the chard leaves.  Serve with some toasted French stick or ciabatta and a drizzle of olive oil.']",Light meals & snacks,www.bbc.co.uk/food/recipes/nigelsadaptablebeans_92230
6,Adjaruli khachapuri (Georgian bread),Donal Skehan,1-2 hours,30 mins to 1 hour,Serves 6,['Pregnancy-friendly'],"['plain flour', 'olive oil', 'salt', 'yeast', 'caster sugar', 'parsley', 'sunflower oil', 'lamb mince', 'onion', 'garlic', 'coriander', 'chilli powder', 'tomato purÃ©e', 'fresh coriander', 'mint', 'butter', 'spinach', 'walnuts', 'mozzarella', 'feta', 'eggs']","['275g/10oz plain flour, plus extra for dusting', '1 tbsp olive oil', '1 tsp salt', '7g fast-action yeast', 'Â½ tsp caster sugar', '200â\x80\x93300ml/7â\x80\x9310fl oz tepid water', '2 tbsp chopped fresh parsley, to serve', '1 tbsp sunflower oil', '200g/7oz lamb mince', '1 onion, diced', '2 garlic cloves, chopped', '1 tsp ground coriander', 'Â½ tsp chilli powder', '1 tbsp tomato purÃ©e', 'Â½ tbsp chopped fresh coriander', 'Â½ tbsp chopped fresh mint', '25g/1oz unsalted butter, melted', '2 handfuls of spinach', '100g/3Â½oz walnuts', '200g/7oz mozzarella, torn ', '175g/6oz feta, crumbled', '2 free-range eggs']","['To make the bread, place the flour, oil, salt, yeast and sugar in a large mixing bowl and mix. Gradually add the water and mix with your hands until a dough is formed. Transfer the dough to a floured surface and knead for 5â\x80\x9310 minutes. Leave covered in warm place for at least 1 hour.', 'To make the meat filling, heat the oil in a frying pan. Add the mince and cook for 5â\x80\x938 minutes, or until browned. Add the onion, garlic, spices, tomato purÃ©e and a splash of water and cook for a further 2â\x80\x933 minutes. Stir in the fresh coriander and mint and set aside to cool.', 'Preheat the oven to 220C/200C Fan/Gas 7 and flour a baking tray. On a floured surface, divide the dough in two pieces and knead into balls.', 'To make the meat-filled bread, divide one of the balls in two and roll out both pieces into circle shapes. Top one circle with the meat filling and place the other circle on top. Push down so the meat is sandwiched between the two rounds of dough and the edges are sealed. Brush with the butter. ', 'To make the spinach-filled bread, roll out the remaining dough ball to an oval shape. Place the spinach inside the oval, leaving a 2cm/Â¾in border around the edge. Top with the walnuts and cheeses. Roll the border edge up to form a crust. Place both of the breads on the baking tray and, just before baking, crack the eggs over the top of the spinach filling and brush the crust edge with butter. Bake for 14â\x80\x9318 minutes, or until golden brown.', 'Cut the meat bread into six triangles and cut the spinach bread into six pieces. Scatter with fresh parsley and serve. ']",Light meals & snacks,www.bbc.co.uk/food/recipes/adjaruli_khachapuri_76214
7,Affogato,Rachel Roddy,less than 30 mins,no cooking required,Serves 4,"['Nut-free', 'Pregnancy-friendly', 'Vegetarian']","['ice cream', 'coffee']","['4 scoops vanilla ice cream', '4 shots of espresso coffee']","['Put a scoop of ice cream in four bowls, bearing in mind that the bowls should be small enough for the espresso to form a pool around the ice cream.', 'Give each person a bowl and a freshly-made espresso. Pour the espressos over the ice cream and eat quickly.']",Desserts,www.bbc.co.uk/food/recipes/affogato_72443
8,Afternoon tea sandwiches ,Ravneet Gill,less than 30 mins,no cooking required,Makes 12,"['Egg-free', 'Healthy', 'Nut-free', 'Pregnancy-friendly', 'Vegetarian']","['bread', 'bread', 'butter', 'cucumber', 'cheddar', 'chutney']","['8 slices white bread', '8 slices seeded bread', '75g/2Â½oz unsalted butter, softened', 'Â¼ cucumber, sliced into thin rounds ', '150g/5Â½oz cheddar, grated', '4 tbsp onion chutney']","['Cut the crusts off the bread and butter one side of each.', 'Lay the cucumber slices on half the white bread slices, then place the other half of the white slices on top. ', 'Spread half the seeded bread slices with the onion chutney and top with an even layer of grated cheddar. Place the other half of the seeded slices on top.', 'Slice the sandwiches into fingers to serve.']",Light meals & snacks,www.bbc.co.uk/food/recipes/afternoon_tea_sandwiches_97508
9,Aïoli,James Martin,less than 30 mins,no cooking required,Serves 4,"['Dairy-free', 'Nut-free', 'Vegetarian']","['egg yolks', 'garlic', 'lemon', 'black pepper', 'olive oil', 'mustard powder', 'saffron']","['3 free-range egg yolks', '4 cloves garlic', 'Â½ lemon, juice only', 'salt and freshly ground black pepper', '150ml/5fl oz extra virgin olive oil', 'mustard powder, optional', 'saffron, optional']","[""Blend all ingredients, except the olive oil, in a food processor. Pour the oil into the blender in a steady stream, until it forms a thick sauce. The mixture, once blended, should be vibrant and yellow in colour. To vary the flavour, add a little mustard or some saffron. If you'd like your mayonnaise runnier, add a couple of tablespoons of hot water. "", 'Serve with baguette slices and/or a selection of raw vegetables, such as celery, carrot sticks, cucumber sticks, radishes, strips of fennel, strips of pepper, cherry tomatoes.']",Other,www.bbc.co.uk/food/recipes/aioli_81090
